id,name,WD Lsv,WD Len,WD Dsv,WD Den,WD e-postadress,WD telefonnummer,WD organisationsnummer (Sverige),abbreviation,other_names,description,classification,parent_id,founding_date,dissolution_date,image,url,jurisdiction_code,phone,email,address,contact,tags,source_url
se/linneuniversitetet,Linnéuniversitetet,Linnéuniversitetet,Linnaeus University,svensk statlig förvaltningsmyndighet,university in Sweden,mailto:info@lnu.se,+46-77-228-80-00,202100-6271,,,,,,,,,www.linneuniversitetet.se,SE,,info@lnu.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/livrustkammaren-och-skoklosters-slott-med-stiftelsen-hallwylska-museet,Livrustkammaren och Skoklosters slott med Stiftelsen Hallwylska museet,Livrustkammaren och Skoklosters slott med Stiftelsen Hallwylska museet,Livrustkammaren och Skoklosters slott med Stiftelsen Hallwylska museet,,museum group in Sweden,,,,,,,,,,,,www.lsh.se,SE,08-207305,livrustkammaren@lsh.se,SLOTTSBACKEN 3,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/livsmedelsverket,Livsmedelsverket,Livsmedelsverket,National Food Agency,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:livsmedelsverket@slv.se,+46-18-17-55-00,202100-1850,,,,,,,,,www.slv.se,SE,018-105848,livsmedelsverket@slv.se,BOX 622,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/ljungby-kommun,Ljungby kommun,Ljungby kommun,Ljungby Municipality,"kommun i Kronobergs län, Sverige","municipality in Kronoberg County, Sweden",,,212000-0670,,,Varuproducerande kommuner,7.0,,,,,http://www.ljungby.se,SE,0372-789000,kommunstyrelsen@ljungby.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/ljusdals-kommun,Ljusdals kommun,Ljusdals kommun,Ljusdal Municipality,"kommun i Gävleborgs län, Sverige","municipality in Gävleborg County, Sweden",,+46-651-180-00,212000-2320,,,Glesbygdkommuner,8.0,,,,,http://www.ljusdal.se,SE,0651-18000,kommun@ljusdal.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/ljusnarsbergs-kommun,Ljusnarsbergs kommun,Ljusnarsbergs kommun,Ljusnarsberg Municipality,"kommun i Örebro län, Sverige","municipality in Örebro County, Sweden",,,212000-1959,,,Varuproducerande kommuner,7.0,,,,,http://www.ljusnarsberg.se,SE,0580-805 00,kommun@ljusnarsberg.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/lomma-kommun,Lomma kommun,Lomma kommun,Lomma Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-1066,,,Förortskommuner till storstäderna,2.0,,,,,http://www.lomma.se,SE,040-6411000,kommunstyrelsen@lomma.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/lotteriinspektionen,Spelinspektionen,Spelinspektionen,The Swedish Gambling Authority,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@lotteriinspektionen.se,+46-152-65-01-00,202100-3310,,,,,,,,,www.lotteriinspektionen.se,SE,,registrator@lotteriinspektionen.se,BOX 199,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/ludvika-kommun,Ludvika kommun,Ludvika kommun,Ludvika Municipality,"kommun i Dalarnas län, Sverige","municipality in Dalarna County, Sweden",,,212000-2270,,,Varuproducerande kommuner,7.0,,,,,http://www.ludvika.se,SE,0240-86000,info@ludvika.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/luftfartsverket,Luftfartsverket,Luftfartsverket,Civil Aviation Administration,svensk statlig myndighet,Swedish Government agency,,,202100-0795,,,,,,,,,www.lfv.se,SE,,lfv@lfv.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/lulea-kommun,Luleå kommun,Luleå kommun,Luleå Municipality,"kommun i Norrbottens län, Sverige","municipality in Norrbotten County, Sweden",,,212000-2742,,,Större städer,3.0,,,,,http://www.lulea.se,SE,0920 - 45 30 00,lulea.kommun@lulea.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/lulea-tekniska-universitet,Luleå tekniska universitet,Luleå tekniska universitet,Luleå University of Technology,svensk statlig förvaltningsmyndighet,Swedish university,mailto:registrator@ltu.se,+46-920-49-10-00,202100-2841,,,,,,,,,www.ltu.se,SE,0920-491399,registrator@ltu.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/lulea-tingsratt,Luleå tingsrätt,Luleå tingsrätt,Luleå District Court,,,,,,,,,,,,,,www.domstol.se,SE,,lulea.tingsratt@dom.se,BOX 849,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/lunds-kommun,Lunds kommun,Lunds kommun,Lund Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-1132,,,Större städer,3.0,,,,,http://www.lund.se,SE,046-355000,lunds.kommun@lund.se,Box 41,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/lunds-tingsratt,Lunds tingsrätt,Lunds tingsrätt,Lund District Court,,,,,,,,,,,,,,www.lundstingsratt.domstol.se,SE,046-133933,lunds.tingsratt@dom.se,BOX 75,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/lunds-universitet,Lunds universitet,Lunds universitet,Lund University,"statligt universitet i Lund, Sverige","university located in the city of Lund in the province of Scania, Sweden",mailto:registrator@lu.se,+46-46-222-00-00,202100-3211,,,,,,,,,www.lu.se,SE,046-2224720,univer@luniver.lu.se,BOX 117,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/lycksele-kommun,Lycksele kommun,Lycksele kommun,Lycksele Municipality,"kommun i Västerbottens län, Sverige","municipality in Västerbotten County, Sweden",,,212000-2635,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.lycksele.se,SE,0950-16600,kommun@lycksele.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/lycksele-tingsratt,Lycksele tingsrätt,Lycksele tingsrätt,Lycksele District Court,,,,,,,,,,,,,,www.lyckseletingsratt.domstol.se,SE,,lycksele.tingsratt@dom.se,BOX 53,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/lysekils-kommun,Lysekils kommun,Lysekils kommun,Lysekil Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1389,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.lysekil.se,SE,0523-61 30 00,registrator@lysekil.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/mala-kommun,Malå kommun,Malå kommun,Malå Municipality,"kommun i Västerbottens län, Sverige","municipality in Västerbotten County, Sweden",,,212000-2866,,,Varuproducerande kommuner,7.0,,,,,http://www.mala.se,SE,0953-14000,ks@mala.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/malardalens-hogskola,Mälardalens högskola,Mälardalens högskola,Mälardalen University College,högskola i Västerås och Eskilstuna,higher education institution,mailto:registrator@mdh.se,+46-21-10-13-00,202100-2916,,,,,,,,,www.mdh.se,SE,021-101320,info@mdh.se,BOX 883,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/malmo-hogskola,Malmö universitet,Malmö universitet,Malmö University,svensk statlig förvaltningsmyndighet,"university located in Malmö, Sweden",mailto:info@mau.se,+46-40-665-70-00,202100-4920,,,,,,,,,www.mah.se,SE,040-6657167,info@mah.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/malmo-stad,Malmö kommun,Malmö kommun,Malmö Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-1124,,,Storstäder,1.0,,,,,http://www.malmo.se,SE,040-341000,kommunstyrelsen@malmo.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/malmo-tingsratt,Malmö tingsrätt,Malmö tingsrätt,Malmö District Court,,,,,,,,,,,,,,www.malmotingsratt.domstol.se,SE,,malmo.tingsratt@dom.se,BOX 265,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/malung-salens-kommun,Malung-Sälens kommun,Malung-Sälens kommun,Malung-Sälen Municipality,"kommun i Dalarnas län, Sverige","municipality in Dalarna County, Sweden",,,212000-2148,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.malung-salen.se,SE,0280-18100,kommun@malung-salen.se,Box 14,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/mariestads-kommun,Mariestads kommun,Mariestads kommun,Mariestad Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1686,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.mariestad.se,SE,0501-755000,info@mariestad.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/markaryds-kommun,Markaryds kommun,Markaryds kommun,Markaryd Municipality,"kommun i Kronobergs län, Sverige","municipality in Kronoberg County, Sweden",,,212000-0654,,,Varuproducerande kommuner,7.0,,,,,http://www.markaryd.se,SE,0433-72000,ks@markaryd.se,Box 74,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/marknadsdomstolen,Marknadsdomstolen,Marknadsdomstolen,Market Court,,,,,,,,,,,,,,www.marknadsdomstolen.se,SE,08-212335,mail@marknadsdomstolen.se,BOX 2217,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/marks-kommun,Marks kommun,Marks kommun,Mark Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1504,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.mark.se,SE,0320-217000,markskommun@mark.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/medlingsinstitutet,Medlingsinstitutet,Medlingsinstitutet,National Mediation Office,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:info@mi.se,+46-8-545-292-40,202100-5174,,,,,,,,,www.mi.se,SE,08-6506836,info@mi.se,BOX 1236,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/melleruds-kommun,Melleruds kommun,Melleruds kommun,Mellerud Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1488,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.mellerud.se,SE,0530-18000,kommunen@mellerud.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/migrationsverket,Migrationsverket,Migrationsverket,Swedish Migration Board,statlig svensk förvaltningsmyndighet,Swedish administrative authority,mailto:migrationsverket@migrationsverket.se,+46-77-123-52-35,202100-2163,,,,,,,,,www.migrationsverket.se,SE,010-4856075,migrationsverket@migrationsverket.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/mittuniversitetet,Mittuniversitetet,Mittuniversitetet,Mid Sweden University,svenskt statligt universitet,Swedish university,mailto:registrator@miun.se,+46-10-142-80-00,202100-4524,,,,,,,,,www.miun.se,SE,0771-975001,registrator@miun.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/mjolby-kommun,Mjölby kommun,Mjölby kommun,Mjölby Municipality,"kommun i Östergötlands län, Sverige","municipality in Östergötland County, Sweden",,,212000-0480,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.mjolby.se,SE,0142-850 00,kommunstyrelsen@mjolby.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/moderna-museet,Moderna Museet,Moderna Museet,Moderna Museet,konstmuseum i Stockholm,"modern and contemporary art museum in Stockholm, Sweden",mailto:registrator@modernamuseet.se,+46-8-520-235-00,202100-5091,,,,,,,,,www.modernamuseet.se,SE,08-6781604,info@modernamuseet.se,BOX 16382,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/molndals-stad,Mölndals stad,Mölndals stad,,,,,,,,,Förortskommuner till storstäderna,2.0,,,,,http://www.molndal.se,SE,031-315 10 00,stad@molndal.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/monsteras-kommun,Mönsterås kommun,Mönsterås kommun,Mönsterås Municipality,"kommun i Kalmar län, Sverige","municipality in Kalmar County, Sweden",,,212000-0720,,,Varuproducerande kommuner,7.0,,,,,http://www.monsteras.se,SE,0499-17000,kommun@monsteras.se,Box 54,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/mora-kommun,Mora kommun,Mora kommun,Mora Municipality,"kommun i Dalarnas län, Sverige","municipality in Dalarna County, Sweden",,,212000-2213,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.mora.se,SE,0250-26000,mora.kommun@mora.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/mora-tingsratt,Mora tingsrätt,Mora tingsrätt,Mora District Court,,,,,,,,,,,,,,www.moratingsratt.domstol.se,SE,,mora.tingsratt@dom.se,BOX 31,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/morbylanga-kommun,Mörbylånga kommun,Mörbylånga kommun,Mörbylånga Municipality,"kommun i Kalmar län, Sverige","municipality in Kalmar County, Sweden",,,212000-0704,,,Förortskommuner till större städer,4.0,,,,,http://www.morbylanga.se,SE,0485-47000,kommun@morbylanga.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/motala-kommun,Motala kommun,Motala kommun,Motala Municipality,"kommun i Östergötlands län, Sverige","municipality in Östergötland County, Sweden",,,212000-2817,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.motala.se,SE,0141-225000,motala.kommun@motala.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/mullsjo-kommun,Mullsjö kommun,Mullsjö kommun,Mullsjö Municipality,"kommun i Jönköpings län, Sverige","municipality in Jönköping County, Sweden",,,212000-1603,,,Pendlingskommuner,5.0,,,,,http://www.mullsjo.se,SE,0392-14000,kommun@mullsjo.se,Box 800,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/munkedals-kommun,Munkedals kommun,Munkedals kommun,Munkedal Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1330,,,Pendlingskommuner,5.0,,,,,http://www.munkedal.se,SE,0524-18000,munkedal.kommun@munkedal.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/munkfors-kommun,Munkfors kommun,Munkfors kommun,Munkfors Municipality,"kommun i Värmlands län, Sverige","municipality in Värmland County, Sweden",,,212000-1801,,,Varuproducerande kommuner,7.0,,,,,http://www.munkfors.se,SE,0563-541000,munkfors.kommun@munkfors.se,Box 13,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/myndigheten-for-delaktighet,Myndigheten för delaktighet,Myndigheten för delaktighet,The Swedish Agency for Participation,svensk statlig myndighet inom funktionshinderområdet,Swedish government agency,mailto:info@mfd.se,+46-8-600-84-00,202100-5588,,,,,,,,,www.handisam.se,SE,,info@mfd.se,BOX 1210,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/myndigheten-for-internationella-adoptionsfragor-(mia),Myndigheten för familjerätt och föräldraskapsstöd,Myndigheten för familjerätt och föräldraskapsstöd,Swedish Intercountry Adoptions Authority,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:info@mfof.se,+46-8-545-556-80,202100-4169,,,,,,,,,www.mia.eu,SE,08-6504110,,BOX 308,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/myndigheten-for-kulturanalys,Myndigheten för kulturanalys,Myndigheten för kulturanalys,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:info@kulturanalys.se,+46-8-528-020-00,202100-6404,,,,,,,,,www.kulturanalys.se,SE,08-52802011,,BOX 12030,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/myndigheten-for-radio-och-tv,"Myndigheten för press, radio och tv","Myndigheten för press, radio och tv",Swedish Broadcasting Authority,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@mprt.se,+46-8-580-070-00,202100-6347,,,,,,,,,www.radioochtv.se,SE,,registrator@radioochtv.se,BOX 33,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/myndigheten-for-samhallsskydd-och-beredskap-(msb),Myndigheten för samhällsskydd och beredskap,Myndigheten för samhällsskydd och beredskap,Swedish Civil Contingencies Agency,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@msb.se,+46-77-124-02-40,202100-5984,,,,,,,,,www.msb.se,SE,010-2405600,registrator@msb.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/myndigheten-for-tillgangliga-medier,Myndigheten för tillgängliga medier,Myndigheten för tillgängliga medier,Swedish Agency for Accessible Media,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:info@mtm.se,+46-8-580-027-00,202100-3591,,,,,,,,,www.mtm.se,SE,08-58002770,info@mtm.se,BOX 5113,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/myndigheten-for-tillvaxtpolitiska-utvarderingar-och-analyser,Myndigheten för tillväxtpolitiska utvärderingar och analyser,Myndigheten för tillväxtpolitiska utvärderingar och analyser,Swedish Agency for Growth Policy Analysis,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:info@tillvaxtanalys.se,+46-10-447-44-00,202100-6164,,,,,,,,,www.tillvaxtanalys.se,SE,010-4474401,info@tillvaxtanalys.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/myndigheten-for-ungdoms-och-civilsamhallesfragor,Myndigheten för ungdoms- och civilsamhällesfrågor,Myndigheten för ungdoms- och civilsamhällesfrågor,National Board for Youth Affairs,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:info@mucf.se,+46-10-160-10-00,202100-1173,,,,,,,,,www.ungdomsstyrelsen.se,SE,08-6448813,info@ungdomsstyrelsen.se,BOX 17801,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/myndigheten-for-vard--och-omsorgsanalys,Myndigheten för vård- och omsorgsanalys,Myndigheten för vård- och omsorgsanalys,Swedish Agency for Health and Care Services Analysis,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@vardanalys.se,+46-8-690-41-00,202100-6412,,,,,,,,,www.vardanalys.se,SE,,,BOX 6070,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/myndigheten-for-yrkeshogskolan,Myndigheten för yrkeshögskolan,Myndigheten för yrkeshögskolan,Swedish National Agency for Higher Vocational Education,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@myh.se,+46-10-209-01-00,202100-6230,,,,,,,,,www.yhmyndigheten.se,SE,021-132016,info@myh.se,BOX 145,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/nacka-kommun,Nacka kommun,Nacka kommun,Nacka Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-0167,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.nacka.se,SE,08-7188000,info@nacka.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/nacka-tingsratt,Nacka tingsrätt,Nacka tingsrätt,Nacka District Court,,,,,,,,,,,,,,www.nackatingsratt.domstol.se,SE,,nacka.tingsratt@dom.se,BOX 1104,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/namnden-for-hemslojdsfragor,Nämnden för hemslöjdsfrågor,Nämnden för hemslöjdsfrågor,Nämnden för hemslöjdsfrågor,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:nfh@nfh.se,+46-8-681-93-53,202100-4144,,,,,,,,,www.nfh.se,SE,,,BOX 4006,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/namnden-for-statligt-stod-till-trossamfund,Nämnden för statligt stöd till trossamfund,Nämnden för statligt stöd till trossamfund,Swedish Agency for Support to Faith Communities,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:info@myndighetensst.se,+46-8-453-68-70,202100-5141,SST,,,,,,,,www.sst.a.se,SE,,,BOX 14038,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/namnden-for-styrelserepresentationsfragor,Nämnden för styrelserepresentationsfrågor,Nämnden för styrelserepresentationsfrågor,,svensk statlig förvaltningsmyndighet,Swedish government agency,,+46-8-405-10-00,202100-5786,,,,,,,,,,SE,,,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/namnden-mot-diskriminering,Nämnden mot diskriminering,Nämnden mot diskriminering,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:kansliet@namndenmotdiskriminering.se,+46-8-561-666-68,202100-6206,,,,,,,,,www.namndenmotdiskriminering.se,SE,,kansliet@namndenmotdiskriminering.se,BOX 2066,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/nassjo-kommun,Nässjö kommun,Nässjö kommun,Nässjö Municipality,"kommun i Jönköpings län, Sverige","municipality in Jönköping County, Sweden",,,212000-0548,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.nassjo.se,SE,0380-518000,kommunstyrelsen@nassjo.se,Stadshuset,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/nationalmuseum-med-prins-eugens-waldemarsudde,Nationalmuseum med Prins Eugens Waldemarsudde,Nationalmuseum med Prins Eugens Waldemarsudde,,,,,,,,,,,,,,,www.nationalmuseum.se,SE,08-51954451,registrator@nationalmuseum.se,BOX 16176,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/naturhistoriska-riksmuseet,Naturhistoriska riksmuseet,Naturhistoriska riksmuseet,Swedish Museum of Natural History,ett biologiskt och geologiskt museum i Stockholm,"museum in Stockholm, Sweden",mailto:registrator@nrm.se,+46-8-519-540-00,202100-1124,,,,,,,,,www.nrm.se,SE,08-51954085,myndigheten@nrm.se,BOX 50007,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/naturvardsverket,Naturvårdsverket,Naturvårdsverket,Swedish Environmental Protection Agency,en svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@naturvardsverket.se,+46-10-698-10-00,202100-1975,,,,,,,,,www.naturvardsverket.se,SE,010-6981099,registrator@naturvardsverket.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
,,,,,,mailto:kundtjanst@naturvardsverket.se,,,,,,,,,,,,,,,,,,
se/nora-kommun,Nora kommun,Nora kommun,Nora Municipality,"kommun i Örebro län, Sverige","municipality in Örebro County, Sweden",,,212000-2007,,,Pendlingskommuner,5.0,,,,,http://www.nora.se,SE,0587-81000,nora.kommun@nora.se,Tingshuset,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/norbergs-kommun,Norbergs kommun,Norbergs kommun,Norberg Municipality,"kommun i Västmanlands län, Sverige","municipality in Västmanland County, Sweden",,,212000-2072,,,Pendlingskommuner,5.0,,,,,http://www.norberg.se,SE,0223-290 00,info@norberg.se,Box 25,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/nordanstigs-kommun,Nordanstigs kommun,Nordanstigs kommun,Nordanstig Municipality,"kommun i Gävleborgs län, Sverige","municipality in Gävleborg County, Sweden",,,212000-2312,,,Glesbygdkommuner,8.0,,,,,http://www.nordanstig.se,SE,0652-36000,kommun@nordanstig.se,Box 56,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/nordiska-afrikainstitutet,Nordiska Afrikainstitutet,Nordiska Afrikainstitutet,Nordic Africa Institute,svensk statlig förvaltningsmyndighet,research institute,mailto:nai@nai.uu.se,+46-18-471-52-00,202100-2726,,,,,,,,,www.nai.uu.se,SE,,nai@nai.uu.se,BOX 1703,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/nordmalings-kommun,Nordmalings kommun,Nordmalings kommun,Nordmaling Municipality,"kommun i Västerbottens län, Sverige","municipality in Västerbotten County, Sweden",,,212000-2536,,,Glesbygdkommuner,8.0,,,,,http://www.nordmaling.se,SE,0930-14000,kommun@nordmaling.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/norrbottens-lans-landsting,Region Norrbotten,Region Norrbotten,Region Norrbotten,"regionkommunen i Norrbottens län, Sverige",County council in Sweden,,+46-920-28-40-00,232100-0230,,,,,,,,,http://www.nll.se,SE,0920-28 40 00,norrbottens.lans.landsting@nll.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterlandstingregioner.1247.html
se/norrkopings-kommun,Norrköpings kommun,Norrköpings kommun,Norrköping Municipality,"kommun i Östergötlands län, Sverige","municipality in Östergötland County, Sweden",,,212000-0456,,,Större städer,3.0,,,,,http://www.norrkoping.se,SE,011-150000,norrkoping.kommun@norrkoping.se,Rådhuset,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/norrkopings-tingsratt,Norrköpings tingsrätt,Norrköpings tingsrätt,Norrköping District Court,domstol i Norrköping,,,,,,,,,,,,,www.norrkopingstingsratt.domstol.se,SE,,norrkopings.tingsratt@dom.se,BOX 418,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/norrtalje-kommun,Norrtälje kommun,Norrtälje kommun,Norrtälje Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-0217,,,Turism- och besöksnäringskommuner,6.0,1.0,,,,http://www.norrtalje.se,SE,0176-71000,norrtalje.kommun@norrtalje.se,Box 800,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/norrtalje-tingsratt,Norrtälje tingsrätt,Norrtälje tingsrätt,Norrtälje District Court,,,,,,,,,,,,,,www.norrtaljetingsratt.domstol.se,SE,,norrtalje.tingsratt@dom.se,BOX 5,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/norsjo-kommun,Norsjö kommun,Norsjö kommun,Norsjö Municipality,"kommun i Västerbottens län, Sverige","municipality in Västerbotten County, Sweden",,,212000-2858,,,Varuproducerande kommuner,7.0,,,,,http://www.norsjo.se,SE,0918-14000,info@norsjo.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/notarienamnden,Notarienämnden,Notarienämnden,Law Clerks Board,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:notarienamnden@dom.se,+46-36-15-53-00,202100-6032,,,,,,,,,http://www.domstol.se/templates/DV_InfoPage.aspx?id=3805,SE,036-715360,domstolsverket@dom.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/nybro-kommun,Nybro kommun,Nybro kommun,Nybro Municipality,"kommun i Kalmar län, Sverige","municipality in Kalmar County, Sweden",,,212000-0753,,,Varuproducerande kommuner,7.0,,,,,http://www.nybro.se,SE,0481-45000,kommun@nybro.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/nykopings-kommun,Nyköpings kommun,Nyköpings kommun,Nyköping Municipality,"kommun i Södermanlands län, Sverige","municipality in Södermanland County, Sweden",,,212000-2940,,,Större städer,3.0,,,,,http://www.nykoping.se,SE,0155-248000,kommun@nykoping.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/nykopings-tingsratt,Nyköpings tingsrätt,Nyköpings tingsrätt,Nyköping District Court,,,,,,,,,,,,,,www.nykopingstingsratt.domstol.se,SE,0155-200445,nykopings.tingsratt@dom.se,BOX 333,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
